Date,Water Year,peak_va,peak_cd,gage_ht,gage_ht_cd
3/15/1940,1940,308,5,12.31,
2/8/1941,1941,202,5,11.99,
3/17/1942,1942,250,5,12.15,
12/31/1942,1943,233,5,12.1,
9/15/1944,1944,168,5,11.87,
3/7/1945,1945,215,5,12.06,2
12/7/1945,1946,310,5,12.38,1
3/3/1947,1947,306,5,12.31,
3/20/1948,1948,358,5,12.44,
4/6/1949,1949,112,5,11.61,
3/23/1950,1950,246,5,12.13,
2/19/1951,1951,233,5,12.1,
3/12/1952,1952,221,5,12.06,
3/31/1953,1953,242,5,12.22,
9/12/1954,1954,482,5,13.66,
8/19/1955,1955,686,5,13.64,
1/9/1956,1956,378,5,13.6,
1/24/1957,1957,172,5,11.95,2
1/26/1958,1958,390,5,12.91,1
3/6/1959,1959,170,5,11.96,
2/20/1960,1960,194,5,12.05,
4/17/1961,1961,238,5,12.21,
3/13/1962,1962,367,5,12.62,
10/7/1962,1963,790,5,14.43,1
11/30/1963,1964,221,5,12.15,
2/26/1965,1965,310,5,12.45,
2/14/1966,1966,100,5,11.62,
5/26/1967,1967,373,5,12.8,
3/19/1968,1968,649,5,13.73,
3/25/1969,1969,475,5,13.15,
12/27/1969,1970,748,5,14.06,
2/13/1971,1971,134,5,11.77,
3/3/1972,1972,540,"2,5",13.2,
4/2/1973,1973,303,5,12.46,
3/21/1974,1974,257,5,12.3,
4/3/1975,1975,218,5,12.15,
1/28/1976,1976,461,5,12.97,
3/23/1977,1977,344,5,12.6,
1/26/1978,1978,633,5,13.48,
1/25/1979,1979,1330,5,15.46,
4/10/1980,1980,244,5,12.18,
2/26/1981,1981,326,5,12.51,
6/6/1982,1982,850,5,14.12,
3/12/1983,1983,447,5,12.92,
5/31/1984,1984,823,5,14.04,
8/1/1985,1985,300,5,12.42,
3/15/1986,1986,530,5,13.17,
4/7/1987,1987,877,5,14.2,
3/27/1988,1988,314,5,12.47,
11/2/1988,1989,317,5,12.48,
8/11/1990,1990,709,5,13.71,
10/14/1990,1991,496,5,13.07,
8/18/1992,1992,228,5,12.15,
3/29/1993,1993,501,5,13.09,
9/23/1994,1994,546,5,13.22,
12/24/1994,1995,207,5,12.11,
9/18/1996,1996,323,5,12.54,
10/21/1996,1997,1150,5,16.78,
6/14/1998,1998,1070,5,15.22,
9/16/1999,1999,480,5,13.03,
4/22/2000,2000,388,5,12.75,
3/22/2001,2001,1590,5,16.8,
5/14/2002,2002,231,5,12.2,
12/14/2002,2003,315,5,12.51,
4/2/2004,2004,990,5,15.09,
5/26/2005,2005,226,5,12.18,
5/15/2006,2006,1270,5,16,
4/16/2007,2007,556,5,13.25,
7/25/2008,2008,291,5,12.42,
12/12/2008,2009,613,5,13.42,
3/15/2010,2010,1450,5,16.49,
12/8/2011,2012,277,5,4.12,"3,6"
12/27/2012,2013,389,"2,5",4.03,"2,3"
3/31/2014,2014,327,5,3.76,3
12/10/2014,2015,776,5,12.12,"3,6"
