STAID,STANAME,DRAIN_SQKM,STOR_NID_2009_MM3,RUNAVE7100_MM3,STO_RATIO,ROADS_KM_SQ_KM,RD_STR_INTERS,IMPNLCD06,NLCD01_06_DEV
01011000,"Allagash River near Allagash, Maine",3186.844,122.19,1543.677596,0.08,0.458,0.196,0.003,0.002
01013500,"Fish River near Fort Kent, Maine",2252.696,1.82,1360.951421,0.00,0.525,0.250,0.208,0.000
01015800,"Aroostook River near Masardis, Maine",2313.755,28.24,1353.47356,0.02,0.449,0.156,0.028,0.004
01016500,"MACHIAS RIVER NEAR ASHLAND, ME",847.7721,0.78,494.7488613,0.00,0.553,0.218,0.007,0.000
01017000,"Aroostook River at Washburn, Maine",4278.907,102.26,2500.937275,0.04,0.488,0.178,0.090,0.002
01017060,"Hardwood Brook below Glidden Brk nr Caribou, Maine",14.8644,0.00,8.6808096,0.00,0.784,0.275,1.041,0.000
01017290,"Little Madawaska River at Caribou, Maine",594.576,1.80,347.6107722,0.01,0.924,0.345,0.905,0.000
01017550,"Williams Brook at Phair, Maine",10.0323,0.00,5.978864556,0.00,1.099,0.000,1.580,0.000
01017960,"Meduxnekeag R above S Br Medux. R nr Houlton, ME",226.2537,5.90,135.6827149,0.04,1.035,0.420,0.701,0.000
01018000,"Meduxnekeag River near Houlton, Maine",450.4734,5.90,270.4569767,0.02,0.964,0.398,0.559,0.000
01018009,"Pearce Brook at Route 1 at Houlton, Maine",19.5192,0.00,11.6920008,0.00,1.577,0.626,1.163,0.000
01019000,"Grand Lake Stream at Grand Lake Stream, Maine",620.6238,466.07,410.0333598,1.14,0.760,0.209,0.020,0.016
01021200,"DENNYS RIVER AT DENNYSVILLE, ME",242.8407,27.71,184.325465,0.15,0.749,0.229,0.262,0.000
01021470,"Libby Brook near Northfield, Maine",16.1001,0.00,12.236076,0.00,1.119,0.244,0.096,0.000
01021480,"Old Stream near Wesley, Maine",76.73849,0.00,58.23799114,0.00,1.568,0.496,0.302,0.109
01021500,"Machias River at Whitneyville, Maine",1184.14,25.47,898.2436067,0.03,0.845,0.252,0.180,0.043
01022260,"Pleasant River near Epping, Maine",161.9937,4.38,123.115212,0.04,0.883,0.251,0.208,0.000
01022330,"Narraguagus River at Deblois, Maine",264.8124,1.02,201.2195029,0.01,0.739,0.276,0.384,0.053
01022500,"Narraguagus River at Cherryfield, Maine",573.6006,11.02,435.936456,0.03,0.664,0.206,0.377,0.022
01023000,"WEST BRANCH UNION RIVER AT AMHERST, ME",385.0974,0.00,292.1455548,0.00,0.561,0.205,0.105,0.024
01027200,"North Branch Penobscot River nr Pittston Farm, ME",582.0489,9.41,448.7619137,0.02,0.379,0.121,0.061,0.011
01029200,"Seboeis River near Shin Pond, Maine",444.9492,1.34,335.7811363,0.00,0.332,0.117,0.019,0.000
01029500,"East Branch Penobscot River at Grindstone, Maine",2816.295,187.60,2132.354943,0.09,0.406,0.121,0.025,0.000
01030000,"PENOBSCOT RIVER NEAR MATTAWAMKEAG, ME",8732.993,1925.84,6677.642926,0.29,0.437,0.151,0.120,0.001
01030500,"Mattawamkeag River near Mattawamkeag, Maine",3676.172,115.91,2375.925036,0.05,0.615,0.234,0.212,0.000
01031300,"Piscataquis River at Blanchard, Maine",304.3764,0.00,224.8403812,0.00,0.507,0.260,0.089,0.000
01031450,"Kingsbury Stream at Abbot Village, Maine",239.0922,4.42,176.5383403,0.03,0.707,0.296,0.162,0.000
01031500,"Piscataquis River near Dover-Foxcroft, Maine",769.0482,8.36,567.9691662,0.01,0.774,0.319,0.344,0.000
01031510,"Black Stream near Dover-Foxcroft, Maine",70.1046,2.43,51.26314048,0.05,1.013,0.339,0.645,0.000
01033000,"SEBEC RIVER AT SEBEC, ME",844.353,76.47,623.33347,0.12,0.494,0.181,0.110,0.000
01033500,"PLEASANT RIVER NEAR MILO, ME",833.9643,33.18,616.9183358,0.05,0.437,0.197,0.107,0.000
01034000,"Piscataquis River at Medford, Maine",3011.229,125.82,2224.686349,0.06,0.664,0.256,0.306,0.000
01034500,"Penobscot River at West Enfield, Maine",17347.38,2271.00,12643.80445,0.18,0.550,0.203,0.204,0.000
01035000,"PASSADUMKEAG RIVER AT LOWELL, ME",779.4081,460.66,547.267165,0.84,0.565,0.182,0.054,0.014
01036500,"KENDUSKEAG STREAM NEAR KENDUSKEAG, ME",391.4991,29.99,274.1413331,0.11,1.218,0.493,1.192,0.000
01037380,"Ducktrap River near Lincolnville, Maine",39.0231,0.02,29.51206618,0.00,1.256,0.613,0.411,0.000
01038000,"Sheepscot River at North Whitefield, Maine",375.0849,33.00,236.2922345,0.14,1.376,0.428,0.728,0.000
01041000,"KENNEBEC RIVER AT MOOSEHEAD, ME",3293.256,1821.86,2061.174173,0.88,0.541,0.255,0.133,0.000
01042500,"Kennebec River at The Forks, Maine",4124.36,1989.02,2580.904057,0.77,0.542,0.247,0.121,0.000
01043500,"DEAD RIVER NEAR DEAD RIVER, ME",1343.69,347.56,864.8183675,0.40,0.800,0.310,0.175,0.000
01044550,"Spencer Stream near Grand Falls, Maine",499.7628,12.94,321.1979014,0.04,0.567,0.252,0.017,0.000
01045000,"DEAD RIVER AT THE FORKS, ME",2254.018,360.50,1450.388454,0.25,0.784,0.301,0.112,0.000
01046000,"AUSTIN STREAM AT BINGHAM, ME",243.1584,0.00,165.1446261,0.00,0.696,0.315,0.186,0.000
01046500,"Kennebec River at Bingham, Maine",7056.902,2640.84,4489.231271,0.59,0.646,0.267,0.132,0.000
01047000,"Carrabassett River near North Anson, Maine",909.0972,4.49,613.7441562,0.01,0.922,0.331,0.354,0.055
01047150,"Kennebec River near Madison, Maine",8433.685,2660.65,5419.31309,0.49,0.704,0.279,0.210,0.007
01047200,"Sandy River near Madrid, Maine",65.646,0.00,44.45719769,0.00,0.529,0.234,0.414,0.000
01048000,"Sandy River near Mercer, Maine",1339.138,25.31,905.8564183,0.03,1.091,0.321,0.738,0.009
01048220,"East Branch Wesserunsett Stream near Athens, Maine",49.3893,0.09,33.38906829,0.00,0.959,0.387,0.408,0.000
01049000,"Sebasticook River near Pittsfield, Maine",1488.607,83.42,1007.150857,0.08,1.193,0.435,1.066,0.006
01049265,"KENNEBEC RIVER AT NORTH SIDNEY, MAINE",14014.81,3214.89,9194.252127,0.35,0.924,0.340,0.612,0.014
01049500,"Cobbosseecontee Stream at Gardiner, Maine",561.3147,35.36,379.7850208,0.09,2.071,0.485,1.656,0.000
01052500,"Diamond River near Wentworth Location, NH",383.8234,0.00,256.0735003,0.00,0.650,0.204,0.034,0.000
01053500,"Androscoggin River at Errol, NH",2701.495,832.08,1802.238094,0.46,0.692,0.235,0.159,0.000
01053600,Androscoggin River below Bog Brook at Cambridge NH,3047.351,833.94,2032.951542,0.41,0.682,0.245,0.166,0.000
01054000,"Androscoggin River near Gorham, NH",3527.626,845.43,2353.247203,0.36,0.698,0.254,0.335,0.011
01054200,"Wild River at Gilead, Maine",180.981,0.00,130.1837597,0.00,0.218,0.087,0.013,0.000
01054300,"Ellis River at South Andover, Maine",337.7295,0.00,242.4435796,0.00,0.645,0.326,0.315,0.000
01054500,"Androscoggin River at Rumford, Maine",5349.329,886.12,3646.796989,0.24,0.696,0.276,0.422,0.008
01055000,"Swift River near Roxbury, Maine",250.641,0.00,179.8883792,0.00,0.425,0.296,0.486,0.000
01055500,"Nezinscot River at Turner Center, Maine",439.5051,17.74,316.0041669,0.06,1.359,0.455,0.993,0.000
01057000,"Little Androscoggin River near South Paris, Maine",190.9188,12.08,136.888245,0.09,1.248,0.470,0.791,0.000
01058500,"LITTLE ANDROSCOGGIN RIVER NEAR AUBURN, ME",851.4333,97.21,610.3106249,0.16,1.641,0.417,1.574,0.129
