"rec_id"	"site_id"	"site_names"	"beta_reg1"	"pval_beta_reg1"	"adq_ppcc_ln2"	"adq_ppcc_res_flood_reg1"	"adq_dw_res_flood_reg1"	"adq_res_flood_reg1"	"cc1_LIN"	"cc1_QUA"	"cc1_LOGT"	"beta_reg2_max"	"pval_cc1_LIN"	"pval_cc1_QUA"	"pval_cc1_LOGT"	"pval_beta_reg2_max"	"cc1_GLM"	"pval_cc1_GLM"
"387"	387	1377500	"Pascack Brook at Westwood NJ"	0.0110730238500871	1.20224297867741e-05	1	1	1	1	-0.00269858509700196	-3.28426458868844e-05	-0.0607987451624687	-3.28426458868844e-05	0.0377344513627268	0.0344514638204684	0.0647326969064796	0.0377344513627268	-0.00483993676493237	0.486428000963962
"400"	400	1381500	"Whippany River at Morristown NJ"	0.0066259673607841	0.000281227217421472	1	1	1	1	-0.00216897125218577	-2.10143075993797e-05	-0.0527390309318392	-2.10143075993797e-05	0.0355613390858655	0.0485144269085628	0.0811308452766029	0.0355613390858655	-0.00655025652567327	0.241920514564681
"431"	431	1393500	"Elizabeth River at Elizabeth NJ"	0.0205401798675357	2.85653590063389e-06	1	1	1	1	-0.00624292066229977	-0.000119821642049205	-0.0957938036389076	-0.000119821642049205	0.00147779179832934	0.00102335393234365	0.00377222914064494	0.00147779179832934	-0.0345889146034758	0.00313090265979433
"690"	690	1521596	"BIG CREEK NEAR HOWARD NY"	0.0409653583811559	0.000134061828108768	1	1	1	1	-0.0125109413970542	-0.000293516173539551	-0.146408476107193	-0.000293516173539551	0.0104289612463018	0.0132891144217114	0.0235413877928201	0.0104289612463018	-0.0517526873354399	0.0163751752728771
"1388"	1388	2253500	"SOUTH CANAL NEAR VERO BEACH, FL"	0.010346274159171	0.00948504800546205	1	1	1	1	-0.00629728349636848	-0.000133119531343189	-0.0683144524044394	-0.000133119531343189	0.00353691685882053	0.00343250710968724	0.038166920429191	0.00353691685882053	-0.0356422968957666	0.0126998384189108
"1442"	1442	2306647	"SWEETWATER CREEK NEAR TAMPA FL"	0.026592244258556	0.0363743850482051	1	1	1	1	-0.0120388281055308	-0.000382483317375104	-0.104246357075335	-0.000382483317375104	0.0110000101986218	0.00970708141243016	0.0369037209245558	0.0110000101986218	-0.0497971286431941	0.0270031915893368
"2236"	2236	3292500	"SOUTH FORK BEARGRASS CREEK AT LOUISVILLE, KY"	0.0151987519588961	2.3919699617359e-05	0	1	1	1	-0.00410223817533687	-4.49563417235907e-05	-0.120936768713705	-4.49563417235907e-05	0.0232380813932732	0.0513963896935047	0.00474805350304811	0.00474805350304811	-0.020372616199572	0.0202741645453868
"2257"	2257	3303400	"CROOKED CREEK NEAR SANTA CLAUS, IN"	0.0277536913491744	0.00808249778322515	1	1	1	1	-0.0105647308371116	-0.000293706355593704	-0.127173369601259	-0.000293706355593704	0.0417014319643384	0.0404198088517657	0.0337700523351885	0.0337700523351885	-0.0745954897230695	0.00133425449801752
"2356"	2356	3353620	"LICK CREEK AT INDIANAPOLIS, IN"	0.0184727877180426	0.00191225877611718	1	1	1	1	-0.00576218525244163	-0.000119389393896789	-0.0728399133843019	-0.000119389393896789	0.0418654676288406	0.0506431631607597	0.0804551965407626	0.0418654676288406	-0.032254309718272	0.0411824643243295
"2957"	2957	4164600	"MIDDLE BR CLINTON R AT SCHOENHERR RD NR MACOMB, MI"	0.00737383912615088	0.043334057716124	1	1	1	1	-0.0043114503771747	-7.78711825606988e-05	-0.0478614129618349	-7.78711825606988e-05	0.0491670363707595	0.0396338190380805	0.225153741246459	0.0491670363707595	-0.030045123583937	0.0438266949884057
"2961"	2961	4166000	"RIVER ROUGE AT BIRMINGHAM, MI"	0.0132418691438861	7.89365254834552e-05	0	1	1	1	-0.00547525580736525	-7.92739611130212e-05	-0.0895351145215769	-7.92739611130212e-05	0.00240257579877312	0.00284247928215787	0.0188297582340187	0.00240257579877312	-0.0383753097530696	6.82044554666653e-05
"2964"	2964	4166300	"UPPER RIVER ROUGE AT FARMINGTON, MI"	0.0101297373853555	0.0255656319582029	1	1	1	1	-0.00530305760703951	-8.51744799473912e-05	-0.0813342807234848	-8.51744799473912e-05	0.0289893955047726	0.0361787736764955	0.0721077773057523	0.0289893955047726	-0.0359068954787464	0.00161428951818686
"2988"	2988	4182000	"ST. MARYS RIVER NEAR FORT WAYNE, IN"	0.00536650659610272	0.00346745215728238	0	1	1	1	-0.00221725435072286	-2.53362701996164e-05	-0.0584770346935055	-2.53362701996164e-05	0.0373978724879148	0.0369335553743532	0.0385329817227148	0.0373978724879148	-0.0146475774511394	0.0410419722047942
"3058"	3058	4232630	"KENDIG CR NR MACDOUGALL NY"	0.013038838364082	0.00876876276770299	0	1	1	1	-0.00847986694323351	-0.000141120031974784	-0.158158687333169	-0.000141120031974784	0.00181423843760882	0.00982208283560679	0.00016431944892204	0.00016431944892204	-0.0445973516125492	0.00353151431535241
"3154"	3154	5050000	"BOIS DE SIOUX RIVER NEAR WHITE ROCK, SD"	0.0166949473481271	0.0134473622207349	0	1	1	1	-0.00610865990042699	-8.7501699352935e-05	-0.112307059152143	-8.7501699352935e-05	0.0313933556778987	0.018686961706717	0.0885571414760058	0.0313933556778987	-0.00640271001442643	0.46011735852549
"3230"	3230	5106000	"SPRAGUE CREEK NEAR SPRAGUE, MANITOBA, CANADA"	0.0112474019730843	0.0167185348556096	0	1	1	1	-0.00466326365762671	-4.44342194937242e-05	-0.119145288877771	-4.44342194937242e-05	0.0241451270222358	0.0467894095424597	0.0333168660367218	0.0241451270222358	-0.0101349628512144	0.190652553589652
"3330"	3330	5331000	"MISSISSIPPI RIVER AT ST. PAUL, MN"	0.00630681119527954	2.03411169305145e-05	1	1	1	1	-0.00172838337446176	-1.22660147600902e-05	-0.0641446615613084	-1.22660147600902e-05	0.0337341108610317	0.0546374914114292	0.033901383910193	0.0337341108610317	-0.00688251476198512	0.0719077472419462
"3690"	3690	5526000	"IROQUOIS RIVER NEAR CHEBANSE, IL"	0.00711007069152262	4.74357635585447e-05	0	1	1	1	-0.00245475045283692	-2.49249824932159e-05	-0.0570062118120727	-2.49249824932159e-05	0.0147083884327983	0.0166118006180342	0.0577358312625892	0.0147083884327983	-0.01761625057746	0.00112366746929247
"3748"	3748	5554500	"VERMILION RIVER AT PONTIAC, IL"	0.00982202430006232	0.000371159700646071	0	1	1	1	-0.00348528522352683	-4.57543966730617e-05	-0.0713828546679492	-4.57543966730617e-05	0.0127664855434372	0.0126359092642037	0.0286085843496738	0.0127664855434372	-0.0172032495827724	0.0141196712624493
