"rec_id"	"site_id"	"site_names"	"beta_reg1"	"pval_beta_reg1"	"adq_ppcc_ln2"	"adq_ppcc_res_flood_reg1"	"adq_dw_res_flood_reg1"	"adq_res_flood_reg1"	"cc1_LIN"	"cc1_QUA"	"cc1_LOGT"	"beta_reg2_max"	"pval_cc1_LIN"	"pval_cc1_QUA"	"pval_cc1_LOGT"	"pval_beta_reg2_max"	"cc1_GLM"	"pval_cc1_GLM"
"94"	94	1093800	"STONY BROOK TRIBUTARY NEAR TEMPLE, NH"	0.0211433272783973	0.00329255855371527	1	1	1	1	0.00579928364315402	0.000141788550202339	0.0753737954638488	0.0753737954638488	0.0457768796763732	0.0338194783097042	0.0585345987099603	0.0457768796763732	0.0311643763022119	0.0153481505762534
"110"	110	1102500	"ABERJONA RIVER AT WINCHESTER, MA"	0.0126967073023687	4.27902962634366e-05	1	1	1	1	0.00337387857358258	3.64286835091551e-05	0.093114154672839	0.093114154672839	0.0217419331761212	0.0518800522426623	0.00774321583805613	0.00774321583805613	0.0160943523165931	0.019514363593391
"239"	239	1184100	"STONY BROOK NEAR WEST SUFFIELD, CT"	0.0188176404732622	0.000743719433607044	1	1	1	1	0.00615661789830479	0.000101210175233564	0.106264341975706	0.106264341975706	0.0242819853227333	0.036255700613212	0.027256492078415	0.0242819853227333	0.024266899453156	0.0633937498287585
"395"	395	1379780	"Green Pond Bk blw Picatinny Lk at Picatinny Ars NJ"	0.0429192448970604	0.00530020402822364	1	1	1	1	0.0155155899251494	0.000482790250878126	0.151908277057984	0.151908277057984	0.0334633625986879	0.0346087754506198	0.0453020036336125	0.0334633625986879	0.0521080420292191	0.0585019599411137
"433"	433	1395000	"Rahway River at Rahway NJ"	0.0103337215721836	6.81270599345141e-07	0	1	1	1	0.00196135003318595	2.01774874938744e-05	0.0523605108478583	0.0523605108478583	0.0475290557607151	0.0479688700295163	0.0704639010400143	0.0475290557607151	0.00931178318286401	0.0757779855430874
"471"	471	1405400	"Manalapan Brook at Spotswood NJ"	0.0109539117360157	0.038098641446754	1	1	1	1	0.00658324921201887	0.000100322494636202	0.117463092267906	0.117463092267906	0.0139511803967263	0.0231220710183023	0.0199105856296632	0.0139511803967263	0.0344202098078862	0.00145141622976195
"530"	530	1438300	"Vandermark Creek at Milford, PA"	0.0134947815136295	0.00641409661008489	1	1	1	1	0.00561020531927509	0.000109474553178839	0.06719027984188	0.06719027984188	0.035348569996968	0.0191913089657981	0.156890330945778	0.035348569996968	0.0187104281379161	0.0763229431054193
"556"	556	1451500	"Little Lehigh Creek near Allentown, PA"	0.0162516389891485	0.00187269988630268	1	1	1	1	0.00430608482593966	4.57301860240961e-05	0.113706272754802	0.113706272754802	0.0437176141057326	0.119361270045511	0.0162199005781593	0.0162199005781593	0.01571722347068	0.0497422787124164
"580"	580	1467081	"South Branch Pennsauken Creek at Cherry Hill NJ"	0.00868791123893252	0.0442520662305131	1	1	1	1	0.00629594543908102	0.000118489661274602	0.0933384658340018	0.0933384658340018	0.00924873782487423	0.0157498555390592	0.0124563913520684	0.00924873782487423	0.0363652775194995	0.0151096189555842
"605"	605	1473900	"Wissahickon Creek at Fort Washington, PA"	0.0126582845616003	0.00141608579207032	0	1	1	1	0.00522307650747095	8.31646751775278e-05	0.0878457438136103	0.0878457438136103	0.0241728911822233	0.045293813345001	0.0346940482903917	0.0241728911822233	0.0339836414882952	0.0212219789838318
